species,words
Pinus rigida,"
Archaeology indicates that the Iroquois, Shinnecock, and Cherokee all utilized pitch pine"
Pinus rigida," The Iroquois used the pitch to treat rheumatism, burns, cuts, and boils"
Pinus rigida, Pitch also worked as a laxative
Pinus rigida, A pitch pine poultice was used by both the Iroquois and the Shinnecock to open boils and to treat abscesses
Pinus rigida, The Cherokee used pitch pine wood in canoe construction and for decorative carvings
Pinus rigida,"


== Gallery ==

		
		
		
		


== References =="
Pinus strobus,"Pinus strobus, commonly denominated the eastern white pine, northern white pine, white pine, Weymouth pine (British), and soft pine is a large pine native to eastern North America"
Pinus strobus," It occurs from Newfoundland, Canada west through the Great Lakes region to southeastern Manitoba and Minnesota, United States, and south along the Appalachian Mountains and upper Piedmont to northernmost Georgia and perhaps very rarely in some of the higher elevations in northeastern Alabama"
Pinus strobus,"The Native American Haudenosaunee denominated it the ""Tree of Peace"""
Pinus strobus," It is known as the ""Weymouth pine"" in the United Kingdom, after Captain George Weymouth of the British Royal Navy, who brought its seeds to England from Maine in 1605"
Pinus strobus,"


== Distribution ==

Pinus strobus is found in the nearctic temperate broadleaf and mixed forests biome of eastern North America"
Pinus strobus," It prefers well-drained or sandy soils and humid climates, but can also grow in boggy areas and rocky highlands"
Pinus strobus," In mixed forests, this dominant tree towers over many others, including some of the large broadleaf hardwoods"
Pinus strobus," It provides food and shelter for numerous forest birds, such as the red crossbill, and small mammals such as squirrels"
Pinus strobus,"
Eastern white pine forests originally covered much of north-central and north-eastern North America"
Pinus strobus, Only one percent of the old-growth forests remain after the extensive logging operations of the 18th century to early 20th century
Pinus strobus,"
Old growth forests, or virgin stands, are protected in Great Smoky Mountains National Park"
Pinus strobus," Other protected areas with known virgin forests, as confirmed by the Eastern Native Tree Society, include Algonquin Provincial Park, Quetico Provincial Park, Algoma Highlands in Ontario, and Sainte-Marguerite River Old Forest  in Quebec, Canada; Estivant Pines, Huron Mountains, Porcupine Mountains State Park, and Sylvania Wilderness Area in the Upper Peninsula of Michigan, United States; Hartwick Pines State Park in the Lower Peninsula of Michigan; Menominee Indian Reservation in Wisconsin; Lost 40 Scientific and Natural Area (SNA) and Boundary Waters Canoe Area Wilderness in Minnesota; White Pines State Park, Illinois; Cook Forest State Park, Hearts Content Scenic Area, and Anders Run Natural Area in Pennsylvania; and the Linville Gorge Wilderness in North Carolina, United States"
Pinus strobus,"
Small groves or individual specimens of old growth eastern white pines are found across the range of the species in the USA, including in Ordway Pines, Maine; Ice Glen, Massachusetts; and Adirondack Park, New York"
Pinus strobus, Many sites with conspicuously large specimens represent advanced old field ecological succession
Pinus strobus, The tall stands in Mohawk Trail State Forest and William Cullen Bryant Homestead in Massachusetts are examples
Pinus strobus,"
As an introduced species, Pinus strobus is now naturalizing in the Outer Western Carpathians subdivision of the Carpathian Mountains in Czech Republic and southern Poland"
Pinus strobus, It has spread from specimens planted as ornamental trees
Pinus strobus,"


== Description ==
Like most members of the white pine group, Pinus subgenus Strobus, the leaves (""needles"") are in fascicles (bundles) of 5, or rarely 3 or 4, with a deciduous sheath"
Pinus strobus," They are flexible, bluish-green, finely serrated, 5–13 cm (2–5 in) long, and persist for 18 months, i"
Pinus strobus,e
Pinus strobus,", from the spring of one season until autumn of the next, when they abscise"
Pinus strobus,"
The seed cones are slender, 8–16 cm (3 1⁄4–6 1⁄4 in) long (rarely longer than that) and 4–5 cm (1 1⁄2–2 in) broad when open, and have scales with a rounded apex and slightly reflexed tip"
Pinus strobus," The seeds are 4–5 mm (5⁄32–3⁄16 in) long, with a slender 15–20 mm (5⁄8–3⁄4 in) wing, and are dispersed by wind"
Pinus strobus, Cone production peaks every 3 to 5 years
Pinus strobus,"
The branches are spaced about every 18 inches on the trunk with 5-6 branches appearing like spokes on a wagon wheel"
Pinus strobus,"
Eastern white pine is self-fertile, but seeds produced this way tend to result in weak, stunted, and malformed seedlings"
Pinus strobus,"
Mature trees are often 200–250 years old, and some live to over 400 years"
Pinus strobus," A tree growing near Syracuse, New York was dated to 458 years old in the late 1980s and trees in Michigan and Wisconsin were dated to approximately 500 years old"
Pinus strobus,"


=== Dimensions ===

The eastern white pine has the distinction of being the tallest tree in eastern North America"
Pinus strobus, In natural pre-colonial stands it is reported to have grown as tall as 70 m (230 ft)
Pinus strobus," There is no means of accurately documenting the height of trees from these times, but eastern white pine may have reached this height on rare occasions"
Pinus strobus," Even greater heights have been reported in popular, but unverifiable, accounts such as Robert Pike's ""Tall Trees, Tough Men"""
Pinus strobus,"
Total trunk volumes of the largest specimens are approximately 28 m3 (990 cu ft), with some past giants possibly reaching 37 or 40 m3 (1,300 or 1,400 cu ft)"
Pinus strobus," Photographic analysis of giants suggests volumes closer to 34 m3 (1,200 cu ft)"
Pinus strobus,"


==== Height ====
Pinus strobus grows approximately 1 m (3"
Pinus strobus,"3 ft) annually between the ages of 15 and 45 years, with slower height increments before and after that age range"
Pinus strobus, The tallest presently living specimens are 50–57
Pinus strobus,"55 m (164 ft 1 in–188 ft 10 in) tall, as determined by the Native Tree Society (NTS)"
Pinus strobus," Prior to their exploitation, it was common for white pines in northern Wisconsin to reach heights of over 200 ft (61 m)"
Pinus strobus, Three locations in southeastern United States and one site in northeastern United States have trees that are 55 m (180 ft) tall
Pinus strobus," 
The southern Appalachian Mountains have the most locations and the tallest trees in the present range of Pinus strobus"
Pinus strobus," One survivor is a specimen known as the ""Boogerman Pine"" in the Cataloochee Valley of Great Smoky Mountains National Park"
Pinus strobus, At 57
Pinus strobus,"55 m (188 ft 10 in) tall, it is the tallest accurately measured tree in North America east of the Rocky Mountains"
Pinus strobus, It has been climbed and measured by tape drop by the Native Tree Society
Pinus strobus," Before Hurricane Opal broke its top in October 1995, Boogerman Pine was 63 m (207 ft) tall, as determined by Will Blozan and Robert Leverett using ground-based measurements"
Pinus strobus,"
The tallest specimens in Hartwick Pines State Park in Michigan are 45–48 m (148–157 ft) tall"
Pinus strobus,"
In northeastern USA, 8 sites in 4 states currently have trees over 48 m (157 ft) tall, as confirmed by the Native Tree Society"
Pinus strobus," The Cook Forest State Park of Pennsylvania has the most numerous collection of 45 m (148 ft) eastern white pines in the Northeast, with 110 trees measuring that height or more"
Pinus strobus," The Park's ""Longfellow Pine"" is the tallest presently living eastern white pine in the Northeast, at 55"
Pinus strobus,"96 m (183 ft 7 in) tall, as determined by being climbed and measured by tape drop"
Pinus strobus," The Mohawk Trail State Forest of Massachusetts has 83 trees measuring 45 m (148 ft) or more tall, of which 6 exceed 48"
Pinus strobus,8 m (160 ft)
Pinus strobus," The ""Jake Swamp Tree"" located there is 51"
Pinus strobus,54 m (169 ft 1 in) tall
Pinus strobus, The Native Tree Society maintains precise measurements of it
Pinus strobus," A private property in Claremont, New Hampshire has approximately 60 specimens that are 45 m (148 ft) tall"
Pinus strobus," Besides the aforementioned sites, sites with 45 m (148 ft) tall specimens typically have one to 15 specimens"
Pinus strobus,"


==== Diameter ====
Diameters of the larger pines range from 1"
Pinus strobus,0–1
Pinus strobus,"6 m (3 ft 3 in–5 ft 3 in), which translates to a circumference (girth) range of 3"
Pinus strobus,1–5
Pinus strobus,0 m (10 ft 2 in–16 ft 5 in)
Pinus strobus," However, single-trunked white pines in both the Northeast and Southeast with diameters over 1"
Pinus strobus,45 m (4 ft 9 in) are exceedingly rare
Pinus strobus, Notable big pine sites of 40 ha (99 acres) or less will often have no more than 2 or 3 trees in the 1
Pinus strobus,2 to 1
Pinus strobus,4 m (3 ft 11 in to 4 ft 7 in) diameter class
Pinus strobus,"

Unconfirmed reports from the colonial era gave diameters of virgin white pines of up to 2"
Pinus strobus,4 m (8 ft)
Pinus strobus,"


== Mortality and disease ==

Because the eastern white pine tree is somewhat resistant to fire, mature survivors are able to re-seed burned areas"
Pinus strobus, In pure stands mature trees usually have no branches on the lower half of the trunk
Pinus strobus," The white pine weevil (Pissodes strobi) and white pine blister rust (Cronartium ribicola), an introduced fungus, can damage or kill these trees"
Pinus strobus,"


=== Blister rust ===
Mortality from white pine blister rust in mature pine groves was often 50–80% during the early 20th century"
Pinus strobus," The fungus must spend part of its life cycle on alternate hosts of the genus Ribes, the native gooseberry or wild currant"
Pinus strobus, Foresters proposed that if all the alternate host plants were removed that white pine blister rust might be eliminated
Pinus strobus, A very determined campaign was mounted and all land owners in commercial pine growing regions were encouraged to uproot and kill all native gooseberry and wild currant plants
Pinus strobus, The ramifications for wildlife and habitat ecology were of less concern at the time than timber industry protection
Pinus strobus,"
Today native wild currants are relatively rare plants in New England, and planting wild currants or wild gooseberries is strongly discouraged, or even illegal in some jurisdictions"
Pinus strobus," As an alternative, new strains of commercial currants have been developed which are highly resistant to white pine blister rust"
Pinus strobus, Mortality in white pines from rust is only about 3% today
Pinus strobus,"


== Conservation status in the United States ==
Old white pines are treasured in the United States"
Pinus strobus," An American National Natural Landmark, Cook Forest State Park, contains the tallest known tree in the northeastern United States, a white pine named Longfellow Pine"
Pinus strobus, Some white pines in Wisconsin are over 200 years old
Pinus strobus, White pine is listed as rare in Indiana
Pinus strobus,"


== Historical uses ==


=== Lumber ===
In the 19th century, the harvesting of Midwestern white pine forests played a major role in America's westward expansion through the Great Plains"
Pinus strobus, A quarter million white pines were harvested and sent to lumber yards in Chicago in a single year
Pinus strobus,"The white pine had aesthetic appeal to contemporary naturalists such as Henry David Thoreau (""There is no finer tree"
Pinus strobus,""") Beyond that, it had commercial applications"
Pinus strobus," It was considered ""the most sought and most widely utilized of the various forest growths of the northwest"
Pinus strobus,"""  Descriptions of its uses are quoted below from a contemporary source:

The species was imported in 1620 to England by Captain George Weymouth, who planted it for a timber crop, but had little success because of white pine blister rust disease"
Pinus strobus,"
Old growth pine in the Americas, of various Pinus species, was a highly desired wood since huge, knot-free boards were the rule rather than the exception"
Pinus strobus," Pine was common and easy to cut, thus many colonial homes used pine for paneling, floors and furniture"
Pinus strobus, Pine was also a favorite tree of loggers since pine logs can still be processed in a lumber mill a year or more after being cut down
Pinus strobus," In contrast, most hardwood trees such as cherry, maple, oak, and ash must be cut into 1"" thick boards immediately after felling or large cracks will develop in the trunk which can render the wood worthless"
Pinus strobus,Although eastern white pine was frequently used for flooring in buildings constructed before the U
Pinus strobus,S
Pinus strobus," Civil War, the wood is soft and will tend to cup over time with wear"
Pinus strobus,  George Washington opted for the much harder southern yellow pine at Mount Vernon instead
Pinus strobus,"


=== Masts ===
During the age of square riggers, tall white pines with high quality wood in the Thirteen Colonies were known as mast pines"
Pinus strobus," Marked by agents of the Crown with the broad arrow, these ""mast pines"" were reserved for the British Royal Navy"
Pinus strobus,"
Special barge-like vessels were built to ship up to 50 pine trunks destined to become masts"
Pinus strobus, The wood was often squared immediately after felling to fit in the holds of ships better
Pinus strobus," A 30 m (100 ft) mast was about 91 cm × 91 cm (3 ft × 3 ft) at the butt and 61 cm × 61 cm (2 ft × 2 ft) at the top, while a 37 m (120 ft) mast was 1"
Pinus strobus,2 m × 1
Pinus strobus,2 m (4 ft × 4 ft) by 76 cm (30 in) on its ends
Pinus strobus,"
Marking of large specimens by the Crown was very controversial in the colonies, leading to the Pine Tree Riot in 1772; its act of rebellion played a significant role in the events leading to the American Revolution"
Pinus strobus,  During that conflict colonists cut down and hauled off many mast pines
Pinus strobus,The original masts on the USS Constitution were single trees but were later replaced by laminated spars to better withstand cannonballs
Pinus strobus," An unusual large, lone, white pine was found in colonial times in coastal South Carolina along the Black River, far east of its southernmost normal range"
Pinus strobus," The king's mark was carved into it, giving rise to the town of Kingstree"
Pinus strobus,"


== Contemporary uses ==


=== Lumber ===

Eastern white pine is now widely grown in plantation forestry within its native area"
Pinus strobus,"
Freshly cut eastern white pine is creamy white or a pale straw color but pine wood which has aged many years tends to darken to a deep rich golden tan"
Pinus strobus, Occasionally one can find light brown pine boards with unusual yellowish-golden or reddish-brown hues
Pinus strobus," This is the famous ""pumpkin pine"""
Pinus strobus," It is generally thought that slow growing pines in old-growth forests accumulate colored products in the heartwood, but genetic factors and soil conditions may also play a role in rich color development"
Pinus strobus,This wood is also favored by pattern makers for its easy working
Pinus strobus,"


=== Foods and medicines ===
Eastern white pine needles exceed the amount of vitamin C of lemons and oranges and make an excellent herbal tea"
Pinus strobus, The cambium is edible
Pinus strobus, It is also a source of resveratrol
Pinus strobus," Linnaeus noted in the 18th century that cattle and pigs fed pine bark bread grew well, but he personally did not like the taste"
Pinus strobus, Caterpillars of Lusk's pinemoth (Coloradia luski) have been found to feed only on Pinus strobus
Pinus strobus,"
Pine tar is produced by slowly burning pine roots, branches, or small trunks in a partially smothered flame"
Pinus strobus, Pine tar mixed with beer can be used to remove tapeworms (flat worms) or nematodes (round worms)
Pinus strobus," Pine tar mixed with sulfur is useful to treat dandruff, and marketed in present-day products"
Pinus strobus, Pine tar can also be processed to make turpentine
Pinus strobus,"
Native American traditional usesThe name ""Adirondack"" is an Iroquois word which means tree-eater and referred to their neighbors (more commonly known as the Algonquians) who collected the inner bark of this tree, Picea rubens, and others during times of winter starvation"
Pinus strobus," The white soft inner bark (cambial layer) was carefully separated from the hard, dark brown bark and dried"
Pinus strobus, When pounded this product can be used as flour or added to stretch other starchy products
Pinus strobus,The young staminate cones were stewed by the Ojibwe Indians with meat and were said to be sweet and not pitchy
Pinus strobus," In addition, the seeds are sweet and nutritious, but not as tasty as those of some of the western nut pines"
Pinus strobus,"Pine resin (sap) has been used by various tribes to waterproof baskets, pails, and boats"
Pinus strobus, The Chippewa also used pine resin to successfully treat infections and even gangrenous wounds
Pinus strobus, This is because pine resin apparently has a number of quite efficient antimicrobials
Pinus strobus," Generally a wet pulp from the inner bark, or pine tar mixed with beeswax or butter was applied to wounds and used as a salve to prevent infection"
Pinus strobus,"


=== Cultivation ===
Pinus strobus is cultivated by plant nurseries as an ornamental tree, for planting in gardens and parks"
Pinus strobus, The species is low-maintenance and rapid growing as a specimen tree
Pinus strobus, With regular shearing it can also be trained as a hedge
Pinus strobus, Some cultivars are used in bonsai
Pinus strobus,"


==== Cultivars ====
Cultivars have been selected for small to dwarf mature forms, and foliage color characteristics"
Pinus strobus," They include:

Pinus strobus Nana Group — ave"
Pinus strobus, 91 cm (3 ft) tall by 1
Pinus strobus,2 m (4 ft) wide
Pinus strobus," MBG: Pinus strobus (Nana Group)
Pinus strobus 'Macopin' — 30 to 91 cm (1 to 3 ft) tall & wide"
Pinus strobus," MBG:Pinus strobus 'Macopin'
Pinus strobus 'Paul Waxman' — 61 to 152 cm (2 to 5 ft) tall & wide"
Pinus strobus," MBG: Pinus strobus 'Paul Waxman'


==== Christmas trees ====
Smaller specimens are popular as live Christmas trees"
Pinus strobus," Eastern white pines are noted for holding their needles well, even long after being harvested"
Pinus strobus," They also are well suited for people with allergies, as they give little to no aroma"
Pinus strobus, A standard 1
Pinus strobus,8-meter (6 ft) tree takes approximately 6 to 8 years to grow in ideal conditions
Pinus strobus," Sheared varieties are usually desired because of their stereotypical Christmas tree conical shape, as naturally grown ones can become too thick for larger ornaments, or grow bushy in texture"
Pinus strobus," The branches of the eastern white pine are also widely used in making holiday wreaths and garland because of their soft, feathery needles"
Pinus strobus,"


== Symbolism ==
Eastern white pine is the Provincial Tree of Ontario, Canada"
Pinus strobus,In the United States it is the State Tree of Maine (as of 1945) and Michigan (as of 1955)
Pinus strobus," Its ""pine cone and tassel"" is also the State Flower of Maine"
Pinus strobus," Sprigs of eastern white pine were worn as badges as a symbol of Vermont identity during the Vermont Republic and are depicted in a stained glass window in the Vermont State House, on the Flag of Vermont, and on the naval ensign of the Commonwealth of Massachusetts and the state of Maine"
Pinus strobus, The 1901 Maine Flag prominently featured the tree during its brief tenure as Maine's state flag
Pinus strobus, The Maine State Guard also use the tree in their uniform badges
Pinus strobus,"
The Native American Haudenosaunee (Iroquois Confederation) denominated it the ""Tree of Peace"""
Pinus strobus,"


== See also ==
Central Appalachian dry oak–pine forest


== References ==

Conifer Specialist Group (1998)"
Pinus strobus," ""Pinus strobus"""
Pinus strobus, IUCN Red List of Threatened Species
Pinus strobus, IUCN
Pinus strobus, 1998
Pinus strobus, Retrieved 12 May 2006
Pinus strobus,"old-form url
Pinetum"
Pinus strobus,"org: Cone photo from Arboretum de Villardebelle
The Monday Garden: The Eastern White Pine


== External links ==
 Media related to Pinus strobus at Wikimedia Commons

Kral, Robert (1993)"
Pinus strobus," ""Pinus strobus"""
Pinus strobus,  In Flora of North America Editorial Committee (ed
Pinus strobus,)
Pinus strobus, Flora of North America North of Mexico (FNA)
Pinus strobus, 2
Pinus strobus, New York and Oxford – via eFloras
Pinus strobus,"org, Missouri Botanical Garden, St"
Pinus strobus," Louis, MO & Harvard University Herbaria, Cambridge, MA"
Pinus strobus,"
EFLORAS: P"
Pinus strobus," strobus Distribution map
Earle, Christopher J"
Pinus strobus,", ed"
Pinus strobus, (2018)
Pinus strobus," ""Pinus strobus"""
Pinus strobus, The Gymnosperm Database
Pinus strobus,"
Bioimages"
Pinus strobus,vanderbilt
Pinus strobus,"edu: Pinus strobus images
Pinus strobus in the CalPhotos Photo Database, University of California, Berkeley
Pinus strobus - information, genetic conservation units and related resources"
Pinus strobus, European Forest Genetic Resources Programme (EUFORGEN)
Pinus thunbergii,"Pinus thunbergii (syn: Pinus thunbergiana), also called black pine, Japanese black pine, and Japanese pine, is a pine native to coastal areas of Japan (Kyūshū, Shikoku and Honshū) and South Korea"
Pinus thunbergii,"It is called gomsol (곰솔) in Korean, hēisōng (黑松) in Chinese, and kuromatsu (黒松) in Japanese"
Pinus thunbergii,"


== Description ==
Black pines can reach the height of 40 m, but rarely achieves this size outside its natural range"
Pinus thunbergii," The needles are in fascicles of two with a white sheath at the base, 7–12 cm long; female cones are 4–7 cm in length, scaled, with small points on the tips of the scales, taking two years to mature"
Pinus thunbergii,  Male cones are 1–2 cm long borne in clumps of 12-20 on the tips of the spring growth
Pinus thunbergii,"  Bark is gray on young trees and small branches, changing to black and plated on larger branches and the trunk; becoming quite thick on older trunks"
Pinus thunbergii,"


== Ecology ==
In North America this tree is subject to widespread mortality by the native American pinewood nematode, Bursaphelenchus xylophilus, spread by means of beetle vectors"
Pinus thunbergii," Subsequently, blue stain fungus invades the plant, leading to a rapid decline and death"
Pinus thunbergii," This nematode has also been introduced to Japan accidentally, leading to the species becoming endangered in its native area"
Pinus thunbergii,"


== Uses ==
Because of its resistance to pollution and salt, it is a popular horticultural tree"
Pinus thunbergii, In Japan it is widely used as a garden tree both trained as Niwaki and untrained growing as an overstory tree
Pinus thunbergii,  The trunks and branches are trained from a young age to be elegant and interesting to view
Pinus thunbergii,"  It is one of the classic bonsai subjects, requiring great patience over many years to train properly"
Pinus thunbergii,"


== Gallery ==

		
		
		
		


== Notes ==


== References ==
Conifer Specialist Group (1998)"
Pinus thunbergii," ""Pinus thunbergii"""
Pinus thunbergii, IUCN Red List of Threatened Species
Pinus thunbergii, IUCN
Pinus thunbergii, 1998
Pinus thunbergii, Retrieved 12 May 2006
Pinus thunbergii,"old-form url
Fu, Liguo; Li, Nan; Elias, Thomas S"
Pinus thunbergii,"; Mill, Robert R"
Pinus thunbergii," ""Pinus thunbergii"""
Pinus thunbergii, Flora of China
Pinus thunbergii, 4
Pinus thunbergii, Retrieved 2018-08-16 – via eFloras
Pinus thunbergii,"org, Missouri Botanical Garden, St"
Pinus thunbergii," Louis, MO & Harvard University Herbaria, Cambridge, MA"
Pinus thunbergii,"


== External links ==
Conifers Around the World: Pinus thunbergii - Japanese Black Pine"
Pinus thunbergii,
Pinus wallichiana,"Pinus wallichiana is a coniferous evergreen tree native to the Himalaya, Karakoram and Hindu Kush mountains, from eastern Afghanistan east across northern Pakistan and north west India to Yunnan in southwest China"
Pinus wallichiana," It grows in mountain valleys at altitudes of 1800–4300 m (rarely as low as 1200 m), reaching 30–50 m (98–164 ft) in height"
Pinus wallichiana, It favours a temperate climate with dry winters and wet summers
Pinus wallichiana," In Pashto, it is known as Nishtar"
Pinus wallichiana,"This tree is often known as Bhutan pine, (not to be confused with the recently described Bhutan white pine, Pinus bhutanica, a closely related species)"
Pinus wallichiana," Other names include blue pine, Himalayan pine and Himalayan white pine"
Pinus wallichiana," In the past, it was also known by the invalid botanic names Pinus griffithii McClelland or ""Pinus excelsa"" Wall"
Pinus wallichiana,", Pinus chylla Lodd"
Pinus wallichiana," when the tree became available through the European nursery trade in 1836, nine years after the Danish botanist Nathaniel Wallich (1784~1856) first introduced seeds to England"
Pinus wallichiana,"
The leaves (""needles"") are in fascicles (bundles) of five and are 12–18 cm long"
Pinus wallichiana," They are noted for being flexible along their length, and often droop gracefully"
Pinus wallichiana," The cones are long and slender, 16–32 cm, yellow-buff when mature, with thin scales; the seeds are 5–6 mm long with a 20–30 mm wing"
Pinus wallichiana,"
Typical habitats are mountain screes and glacier forelands, but it will also form old-growth forests as the primary species or in mixed forests with deodar, birch, spruce, and fir"
Pinus wallichiana, In some places it reaches the tree line
Pinus wallichiana,"


== Uses ==
The wood is moderately hard, durable and highly resinous"
Pinus wallichiana, It is a good firewood but gives off a pungent resinous smoke
Pinus wallichiana, It is a commercial source of turpentine which is superior quality than that of P
Pinus wallichiana, roxburghii but is not produced so freely
Pinus wallichiana,"
It is also a popular tree for planting in parks and large gardens, grown for its attractive foliage and large, decorative cones"
Pinus wallichiana," It is also valued for its relatively high resistance to air pollution, tolerating this better than some other conifers"
Pinus wallichiana,"
This plant and the slow-growing cultivar ‘Nana’ have gained the Royal Horticultural Society's Award of Garden Merit"
Pinus wallichiana,"

		
		


== References ==


== External links ==
Gymnosperm Database: Pinus wallichiana
Photo of cones (scroll half-way down)
Plants for a future"
Platanus acerifolia,"Platanus × acerifolia, the London plane, London planetree, or hybrid plane, is a tree in the genus Platanus"
Platanus acerifolia, It is often known by the synonym Platanus × hispanica
Platanus acerifolia, It is usually thought to be a hybrid of Platanus orientalis (oriental plane) and Platanus occidentalis (American sycamore)
Platanus acerifolia, Some authorities think that it may be a cultivar of P
Platanus acerifolia, orientalis
Platanus acerifolia,"


== Description ==

The London plane is a large deciduous tree growing 20–30 m (66–98 ft), exceptionally over 40 m (131 ft) tall, with a trunk up to 3 m (10 ft) or more in circumference"
Platanus acerifolia," The bark is usually pale grey-green, smooth and exfoliating, or buff-brown and not exfoliating"
Platanus acerifolia," The leaves are thick and stiff-textured, broad, palmately lobed, superficially maple-like, the leaf blade 10–20 cm (4–8 in) long and 12–25 cm (5–10 in) broad, with a petiole 3–10 cm (1–4 in) long"
Platanus acerifolia," The young leaves in spring are coated with minute, fine, stiff hairs at first, but these wear off and by late summer the leaves are hairless or nearly so"
Platanus acerifolia," The flowers are borne in one to three (most often two) dense spherical inflorescences on a pendulous stem, with male and female flowers on separate stems"
Platanus acerifolia," The fruit matures in about 6 months, to 2–3 cm diameter, and comprises a dense spherical cluster of achenes with numerous stiff hairs which aid wind dispersal; the cluster breaks up slowly over the winter to release the numerous 2–3 mm seeds"
Platanus acerifolia, The London Plane is one of the most efficient trees in removing small particulate pollutants in urban areas
Platanus acerifolia,"It shares many visual similarities with Platanus occidentalis (American sycamore), from which it is derived; however, the two species are relatively easy to distinguish, considering the London plane is almost exclusively planted in urban habitats, while P"
Platanus acerifolia, occidentalis is most commonly found growing in lowlands and alluvial soils along streams
Platanus acerifolia,"


== Origin ==

The species was formed by hybridization in the 17th century after P"
Platanus acerifolia, orientalis and P
Platanus acerifolia, occidentalis had been planted in proximity to one another
Platanus acerifolia," It is often said that the hybridization took place in Spain, but it could also have happened in Vauxhall Gardens in London where John Tradescant the Younger discovered the tree in the mid-17th century"
Platanus acerifolia,"
The leaf and flower characteristics are intermediate between the two parent species, the leaf being more deeply lobed than P"
Platanus acerifolia, occidentalis but less so than P
Platanus acerifolia," orientalis, and the seed balls typically two per stem (one in P"
Platanus acerifolia," occidentalis, 3–6 in P"
Platanus acerifolia, orientalis)
Platanus acerifolia," The hybrid is fertile, and seedlings are occasionally found near mature trees"
Platanus acerifolia,"
Controlled reciprocal pollinations between P"
Platanus acerifolia, occidentalis and P
Platanus acerifolia, orientalis resulted in good yields of germinable seed and true hybrid seedlings
Platanus acerifolia," Crosses of both species, as females, with P"
Platanus acerifolia, racemosa and P
Platanus acerifolia," wrightii produced extremely low yields of germinable seed, but true hybrids were obtained from all interspecific combinations"
Platanus acerifolia, Apomixis (asexual reproduction from non-fertilized seeds) appeared common in P
Platanus acerifolia, orientalis
Platanus acerifolia,"In 1968 and 1970, Frank S"
Platanus acerifolia, Santamour Jr
Platanus acerifolia, recreated the P
Platanus acerifolia, orientalis by P
Platanus acerifolia, occidentalis cross using a P
Platanus acerifolia, orientalis of Turkish origin with American sycamores (P
Platanus acerifolia, occidentalis)
Platanus acerifolia, The offspring were evaluated following several years of exposure to anthracnose infection
Platanus acerifolia," Two selections, 'Columbia' and 'Liberty', were released in August, 1984"
Platanus acerifolia,"


== Taxonomy ==

Platanus × acerifolia was first formally described in the botanical literature by the Scottish botanist William Aiton in his 1789 work Hortus Kewensis as a variety of P"
Platanus acerifolia, orientalis
Platanus acerifolia," Aiton described this variety with a two-word Latin diagnosis, ""foliis transversis"", and called it the Spanish plane tree"
Platanus acerifolia," In 1805, Carl Ludwig Willdenow chose to elevate Aiton's variety to species rank, publishing the new species P"
Platanus acerifolia, acerifolia in the fourth edition of Species Plantarum
Platanus acerifolia, The species name was then modified to include the multiplication symbol to indicate its suspected hybrid parentage
Platanus acerifolia," The other name commonly used for this taxon, Platanus × hispanica auct"
Platanus acerifolia, non Mill
Platanus acerifolia, ex Münchh
Platanus acerifolia,", is a nomen dubium based on an uncertain description"
Platanus acerifolia,"


== Cultivation ==
The London plane is one of 50 Great British Trees that the Tree Council selected in 2002 in honour of Queen Elizabeth II's Golden Jubilee"
Platanus acerifolia," The list specifically mentions Britain's first London plane being in the city of Ely, Cambridgeshire"
Platanus acerifolia,"
The London plane is very tolerant of atmospheric pollution and root compaction, and for this reason it is a popular urban roadside tree"
Platanus acerifolia, It was planted extensively in Victorian times to weather the pollution of London
Platanus acerifolia," It is now extensively cultivated in most temperate latitudes as an ornamental and parkland tree, and is a commonly planted tree in cities throughout the temperate regions of the world, in London and many other cities"
Platanus acerifolia, It has a greater degree of winter cold tolerance than P
Platanus acerifolia," orientalis, and is less susceptible to anthracnose disease than P"
Platanus acerifolia, occidentalis
Platanus acerifolia," Under the synonym Platanus × hispanica, the tree has gained the Royal Horticultural Society of Great Britain's Award of Garden Merit"
Platanus acerifolia,The tree is fairly wind-resistant
Platanus acerifolia," However, it has a number of problems in urban use, most notably the short, stiff hairs shed by the young leaves and the dispersing seeds; these are an irritant if breathed in, and can exacerbate breathing difficulties for people with asthma"
Platanus acerifolia," The large leaves can create a disposal problem in cities, as they are tough and sometimes can take more than one year to break down if they remain whole"
Platanus acerifolia,"
London planes are often pruned by a technique called pollarding"
Platanus acerifolia," A pollarded tree has a drastically different appearance than an unpruned tree, being much shorter with stunted, club-like branches"
Platanus acerifolia," Although pollarding requires frequent maintenance (the trees must usually be repruned every year), it creates a distinctive shape that is often sought after in plazas, main streets, and other urban areas"
Platanus acerifolia,"

		


=== In New York City ===
According to the New York City Department of Parks and Recreation the symbol of that organization is a cross between the leaf of the London plane and a maple leaf"
Platanus acerifolia, It is prominently featured on signs and buildings in public parks across the city
Platanus acerifolia, The tree is on the NYC Parks Department's list of restricted use species for street tree planting because it constitutes more than 10% of all street trees
Platanus acerifolia,"


=== In Australia ===
In Australia, the London plane is used extensively as a street tree in major cities, particularly Sydney, Melbourne, Adelaide and Perth"
Platanus acerifolia," The tree is commonly used because of its resilience to warm weather, its benefits as a shade tree, resistance to breakage and tolerance of urban pollution"
Platanus acerifolia,"


=== In Johannesburg, South Africa ===
In Johannesburg, South Africa many London planes line streets in older suburbs"
Platanus acerifolia, In recent years the trees have been infested with the Polyphagous shot hole borer beetle
